PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,SampleRatio,PlateCutoff
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Ratio of median channel fluorescence of test sample to DMSO control,Average plus five standard deviations of the SampleRatios on a particular assay plate
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10,
133,49817649,7170186,COC1=CC=C(C=C1)C(=O)CN2C(=O)C3(CCCCCC3)NC2=O,Inactive,0,,,98.88,215
134,49670992,1332906,C1CCN(CC1)CCC(=O)NC2=C(C=C(C=C2)Br)C(=O)C3=CC=CC=C3,Inactive,0,,,102.25,215
135,842798,645071,CCOC(=O)CNC(=O)CSC1=NN=NN1C2=C(C=CC(=C2)C)C,Inactive,0,,,101.12,215
136,49665299,708725,C1=CC(=CC(=C1)C2=NC3=C(N2)C=C(C=C3)N)C4=NC5=C(N4)C=C(C=C5)N,Inactive,0,,,101.12,215
137,49718881,24790493,CC1(CC(C2=C(C1)N(N=C2)C3=CC=C(C=C3)F)NC(=O)C4=NC=CN=C4)C,Inactive,0,,,97.75,215
138,17510955,12005396,CCOC(=O)C1=C(SC=C1C2=CC=CC=C2)NC(=O)C3=NOC(=C3)C4=CC=CC=C4OC,Inactive,0,,,88.76,215
139,49731413,16027020,CC1=CC=C(C=C1)CNC(=O)CCC2=C(N(N=C2C)C3=NN=C(C=C3)N4CCOCC4)C,Inactive,0,,,100,215
140,26725855,3453284,C1=CC2=C(C=C1Br)C3C(C(SC4=C3SC(=O)N4)C(=O)O)C(=O)O2,Inactive,0,,,89.89,215
141,26731860,16746065,CC1=CC=C(S1)C(=O)N2CCC3(CC2)C4(CC(=NO4)C5=CC=C(C=C5)Cl)C(=O)C6=C(O3)C=CC(=C6)Cl,Inactive,0,,,97.75,215
142,85149069,44144263,C1=CC=NC(=C1)CCNC(=O)CN2C=CC(=NC2=O)N,Inactive,0,,,100,215
143,49733512,3196554,C1CCC(C1)NC(=O)C(C2=CC=NC=C2)N(C3=CC=CC=C3)C(=O)C4=CC=CO4,Inactive,0,,,97.75,215
144,85149127,44144303,CC1=CC=C(C=C1)S(=O)(=O)N2CC3N(CCO3)C(=O)C2,Inactive,0,,,101.12,215
145,49673947,4804495,CCC1(C(=O)N(C(=O)N1)CC(=O)N(C)CC2=CC=CC=C2)C3=CC=CC=C3,Inactive,0,,,98.88,215
146,85147376,852319,CCSC1=NC(=NC(=C1)N2CCCC2)C3=CC=C(C=C3)Cl,Inactive,0,,,93.26,215
147,22406111,4129162,CCCCN=C(C(=O)OCC)NNC1=CC=C(C=C1)Br,Inactive,0,,,100,215
148,26670054,16682610,C1CCC(CC1)CCCCN2[C@H](CN=C2N)CC3=CC=C(C=C3)O,Inactive,0,,,97.75,215
149,17413308,1313119,CC1=CC(=CC=C1)C(=O)NC(=S)NC2=CC=C(C=C2)CC3=CC=NC=C3,Inactive,0,,,103.37,215
150,26660549,16682099,C1CN(CCC12C3(CC(=NO3)C4=CC=CC=C4)C(=O)C5=C(O2)C=CC(=C5)F)C(=O)C6=COC=C6,Inactive,0,,,92.13,215
151,49825386,24818916,CC1=NN(C(=C1)C(=O)NC2CC(CC3=C2C=NN3C4=CC(=CC=C4)F)(C)C)C,Inactive,0,,,105.62,215
