PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Dose-response
RESULT_TYPE,,,,,,,,STRING
145,26668340,2930384,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CCOC)C(=O)NCCC4=CC=CC=C4,Active,40,,,yes
146,14741154,3749102,CCCCOC1=CC=C(C=C1)C2C3(C(=N)OC4(O2)CCCCC4C3(C#N)C#N)C#N,Active,40,,,yes
147,856776,658132,CCOC(=O)CC(=O)CSC1=C(C=C2CCCCCCC2=N1)C#N,Active,40,,,yes
148,843542,645845,CC(C)OC(=O)CC(=O)CSC1=C(C=C2CCCCC2=N1)C#N,Active,40,,,yes
149,852326,654941,CN(C1=NN=C(S1)C2=CC=CC=N2)C(=O)C3=CC=CC=N3,Active,40,,,yes
150,17414308,1582613,CC1=CC(=C(C=C1C)S(=O)(=O)ON2C(=O)C3=CC=CC=C3C2=O)C,Active,40,,,yes
151,14739990,1480771,CC1=CC2=C(C=C1N)NC(=O)C(=C2C)C,Active,40,,,yes
152,850384,652906,CCCN1C2=C(C=C(C1=N)C(=O)NCC3CCCO3)C(=O)N4C=CC=C(C4=N2)C,Active,40,,,yes
153,14732438,697292,C1=CN2C=C(N=C2N=C1)C3=CC=C(C=C3)Cl,Active,40,,,yes
154,17388343,262620,CCOC(=O)C1=CC(=C2C=CC=CN2C1=O)C(=O)OCC,Active,40,,,yes
155,859884,661188,CC1CN(CC(O1)C)C2=C(N=C(O2)C3=CC=CS3)C#N,Active,40,,,yes
156,859063,660368,CCNC(=O)C1=CC2=C(N=C3C(=CC=CN3C2=O)C)N(C1=N)CCC4=CC=CC=C4,Active,40,,,yes
157,864693,665934,CC1=CN2C(=NC3=C(C2=O)C=C(C(=O)N3C4=NC=CS4)C#N)C=C1,Active,40,,,yes
158,24780944,16187414,CN(C)C1=C2C(=C(C(=C(C2=NC3=CC=CC=C31)F)F)F)F,Active,40,,,yes
159,843679,645982,CN(C1=NN=C(S1)C2=CC=NC=C2)C(=O)C3=CC=NC=C3,Active,40,,,yes
160,14728349,1234441,CCOC(=O)C1=NN(C2=NC(=C(C(=O)N12)C#N)CC(C)C)C3=CC=C(C=C3)F,Active,40,,,yes
161,14744306,2426546,CC1=CC(=O)N2C=CC=CC2=C1C#N,Active,40,,,yes
162,14735561,9550767,CC1=CC(=CC=C1)N2C3=C(C=C(C2=O)C#N)C(=O)N4C=CC=CC4=N3,Active,40,,,yes
163,864446,665693,C1=CC=NC(=C1)C2=NC(=C(C(=C2)C3=CC=CO3)C#N)N,Active,40,,,yes
164,17401552,9636377,CC1=NNC(=O)C1CC(=O)N/N=C/C2=C(C=CC(=C2)OC)OC,Active,40,,,yes
165,860574,661858,C1CC(=O)N(C1=O)C2=NN3C(=CC(=NC3=N2)C4=CC=CC=C4)C5=CC=CC=C5,Active,40,,,yes
166,14739954,974686,COC1=CC=C(C=C1)C2=NC3=NC(=NN3C(=C2)C(F)(F)F)N,Active,40,,,yes
167,862215,663438,C1COCCN1S(=O)(=O)C2=CC=CC(=C2)C3=CN4C=CC=NC4=N3,Active,40,,,yes
168,3717701,2314340,CC(=O)N1C2=C(C=C(C=C2)OC)C3=CC=CC=C3S1(=O)=O,Active,40,,,yes
169,17401561,4378441,C1COC2=C(O1)C=CC(=C2)C(=O)NC3=CC4=C(C=C3)OC(=N4)C5=CC6=CC=CC=C6C=C5,Active,40,,,yes
170,24824142,268208,CC1=C(C(=O)C2=C(O1)C=C(C=C2)OC(=O)C)C3=CC=CC=C3,Active,40,,,yes
171,4252322,3245891,CN1C(=CC2=C1N=C3C=CC=CN3C2=O)C(=O)N4CCC5=CC=CC=C5C4,Active,40,,,yes
172,49681835,60699,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O.Cl,Active,40,,,yes
173,4247434,3151386,C1CCC(C1)NC(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(C2=N)C5CCCC5,Active,40,,,yes
174,14742750,2427312,COCCN1C(=C(C2=NC3=CC=CC=C3N=C21)C#N)N,Active,40,,,yes
175,4254978,1300651,CC1=C(C(=O)C2=C(O1)C=C(C=C2)OC(=O)C3=CC=CO3)OC4=CC=CC=C4OC,Active,40,,,yes
176,4245671,3240115,CCOC(=O)CNC1=C(N=C2N1C=CN=C2)C3=CC=C(C=C3)F,Active,40,,,yes
177,4247839,2764765,COC(=O)C1=C(C2=C(S1)C=NC=C2)N,Active,40,,,yes
178,7977524,2235946,C1CCC2=C(C1)C3=C(C=C(C=C3)OC(=O)C4=CC=CO4)OC2=O,Active,40,,,yes
179,864837,666085,COC1=C(C=C2C(=C1)CCN3C2=CC(=NC3=O)OCCN4CCOCC4)OC,Active,40,,,yes
180,24836844,135520016,CCN1C(=NC2=C1C=CC(=C2)C(=O)N/N=C(\C)/C3=C(C=C(C=C3)OC)O)C,Active,40,,,yes
181,17412045,2238214,CC1=CC(=C(C(=C1C)S(=O)(=O)ON2C(=O)C3=CC=CC=C3C2=O)C)C,Active,40,,,yes
182,859100,660402,CN1C2=C(C=CC(=C2)N(C)C)C(=CC1=O)OC,Active,40,,,yes
183,14725875,3151460,COCCCN1C2=C(C=C(C1=N)C(=O)NC3CCCCC3)C(=O)N4C=CC=CC4=N2,Active,40,,,yes
184,14741701,5322221,CC(C)CN(CC1=C(C=CC2=C1OC(=O)C3=C2CCC3)O)CC(C)C,Active,40,,,yes
185,14737797,9551157,CCOC1=CC=C(C=C1)NC(=O)C2=CC3=C(O2)N=C4C=C(C=CC4=C3)OC,Active,40,,,yes
