smiles,new_category
CC1=C(C2=CC=CC=C2N1)CCN(CC3=CC(=C(C(=C3)OC)OC)OC)C(=S)NC,0.0
CC1=CC2=C(C=C1C)OC(=C2C)C(=O)NC3=CC=C(C=C3)NC(=O)C,0.0
CCOC(=O)N1CCN(CC1)CC(COC2=CC=CC=C2CC=C)O.Cl,1.0
COC1=CC=C(C=C1)N2C3=C(C(=O)NC2=O)C(C(=O)N3)(C(F)(F)F)NS(=O)(=O)C4=CC=C(C=C4)Cl,0.0
CC1=C(C=C(C=C1)C(=O)NC2=CC3=C(C=C2)OCO3)S(=O)(=O)N4CCCCC4,0.0
COC1=CC=CC=C1N2CCN(CC2)CC(=O)NC3=C(C=CC(=C3)C(=O)OC)C(=O)OC,0.0
CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(C(F)(F)F)(C(F)(F)F)NC(=O)C3=CC=CO3,0.0
CCCC[C@@H]1C=C([C@@H](N1S(=O)(=O)C2=CC=C(C=C2)C)C3=CC=C(C=C3)CC)C(=O)O,0.0
COC1=C(C(=CC=C1)OC)C2=NN3C(=NN=C3S2)C4=CC=CO4,0.0
COC1=C(C2=C(C=C1)C(OC2=O)NC3=NC(=CS3)C4=CC5=CC=CC=C5OC4=O)OC,0.0
C1OC2=C(O1)C=C(C=C2)CNC(=O)CCCCN3C(=O)C4=CC=CC=C4NC3=O,0.0
CCN(CC)C1=CC=C(C=C1)C(=O)OCC(=O)C2=CC=CO2,0.0
C/C(=N\NC1=NC2=CC=CC=C2C(=O)N1O)/C3=CC=CO3,0.0
C=CCNCC1=CC=CN1C2=CC=CC=C2.C(=O)(C(=O)O)O,0.0
CC1=CC2=C(C=C1)C(=CC(=O)O2)COC(=O)C3CC(=O)N(C3)C4=CC5=C(C=C4)OCCO5,0.0
CC1=NN(C=C1)C(=O)C2=CC3=C(C(=CC=C3)OC)OC2=O,0.0
CC1=CC=C(C=C1)C2CC(N3C(=NC=N3)N2)C4=CC=CC=C4OC,0.0
